Time, Regions, Area
07,06,0,0.0
07,07,0,0.0
07,08,1,0.0
07,09,0,0.0
07,10,0,0.0
07,11,0,0.0
07,12,3,618.5666666666667
07,13,5,250.1
07,14,6,0.0
07,15,1,490.23333333333335
07,16,0,45.766666666666666
07,17,0,0.0
07,18,0,0.0
07,19,0,0.0
07,20,0,0.0
07,21,0,0.0
07,22,1,0.0
07,23,2,0.0
07,24,0,0.0
07,25,0,0.0
07,26,0,0.0
07,27,0,0.0
07,28,0,0.0
07,29,0,0.0
07,30,0,0.0
07,31,0,0.0
07,32,0,0.0
07,33,0,0.0
07,34,0,0.0
07,35,0,0.0
07,36,1,0.0
07,37,0,0.0
07,38,0,0.0
07,39,0,0.0
07,40,3,11.0
07,41,4,54.766666666666666
07,42,6,21.066666666666666
07,43,9,925.9333333333333
07,44,7,0.0
07,45,0,0.0
07,46,1,0.0
07,47,0,0.0
07,48,0,0.0
07,49,0,0.0
07,50,0,0.0
07,51,3,319.6166666666667
07,52,8,1296.9333333333334
07,53,1,561.6333333333333
07,54,0,0.0
07,55,3,0.0
07,56,0,0.0
07,57,0,131.73333333333332
07,58,3,0.0
07,59,0,0.0
08,00,63,143074.96666666667
08,01,108,14162.0
08,02,41,2170.3
08,03,152,18151.266666666666
08,04,121,4489.883333333333
08,05,115,8205.516666666666
08,06,141,14703.383333333333
08,07,98,5725.266666666666
08,08,156,21243.983333333334
08,09,123,11143.8
08,10,137,12019.75
08,11,86,11131.533333333333
08,12,85,4641.783333333334
08,13,82,7359.216666666666
08,14,51,1936.5666666666666
08,15,112,10413.966666666667
08,16,74,6267.316666666667
08,17,58,1157.9666666666667
08,18,71,6246.6
08,19,87,3886.733333333333
08,20,94,10559.316666666668
08,21,119,16471.483333333334
08,22,60,6918.883333333333
08,23,51,1244.9166666666667
08,24,51,1363.5666666666666
08,25,50,1681.7333333333333
08,26,69,3924.6
08,27,70,4901.016666666666
08,28,99,6736.8
08,29,91,6095.866666666667
08,30,72,7646.0
08,31,129,16487.066666666666
08,32,113,6240.533333333334
08,33,129,18900.266666666666
08,34,110,13299.083333333334
08,35,110,14119.25
08,36,113,7177.766666666666
08,37,112,11205.416666666666
08,38,100,7800.966666666666
08,39,124,14204.383333333333
08,40,91,7729.333333333333
08,41,91,7057.8
08,42,49,3219.733333333333
08,43,77,1911.7833333333333
08,44,37,948.6833333333333
08,45,22,0.0
08,46,37,908.9333333333333
08,47,46,1063.5333333333333
08,48,49,3548.9666666666667
08,49,66,2501.3166666666666
08,50,85,7851.05
08,51,60,1424.6333333333334
08,52,58,3557.883333333333
08,53,56,8012.616666666667
08,54,56,2523.9333333333334
08,55,45,484.9
08,56,72,3410.3
08,57,66,1771.9333333333334
08,58,76,10412.983333333334
08,59,68,5115.016666666666
09,00,76,7184.166666666667
09,01,63,8296.466666666667
09,02,70,2013.5333333333333
09,03,88,5221.3
09,04,106,6169.316666666667
09,05,80,2591.6
09,06,111,3773.45
09,07,101,9258.933333333332
09,08,90,3815.05
09,09,67,2694.9666666666667
09,10,61,1534.3166666666666
09,11,119,3939.4666666666667
09,12,97,12514.65
09,13,66,7348.65
09,14,32,2505.866666666667
09,15,41,442.01666666666665
09,16,34,168.61666666666667
09,17,70,5727.116666666667
09,18,69,1552.3
09,19,85,8853.833333333334
09,20,86,5097.0
09,21,61,5219.333333333333
09,22,66,4882.916666666667
09,23,93,2929.016666666667
09,24,119,12126.266666666666
09,25,123,10052.516666666666
09,26,135,14894.383333333333
09,27,106,6369.066666666667
