Time, Regions, Area
12,25,76,4868.783333333334
12,26,55,1116.0666666666666
12,27,67,8712.75
12,28,59,10210.65
12,29,68,7996.2
12,30,55,4337.633333333333
12,31,66,10604.666666666666
12,32,45,11523.55
12,33,46,5441.516666666666
12,34,67,12176.25
12,35,67,6866.383333333333
12,36,46,5104.933333333333
12,37,51,5908.15
12,38,26,2810.766666666667
12,39,63,9595.416666666666
12,40,41,6383.35
12,41,95,13710.316666666668
12,42,82,15377.916666666666
12,43,64,5812.183333333333
12,44,82,17839.983333333334
12,45,99,16777.766666666666
12,46,114,14452.733333333334
12,47,123,23543.7
12,48,122,18219.316666666666
12,49,111,16731.7
12,50,114,15929.7
12,51,117,12090.1
12,52,104,10824.333333333334
12,53,111,11204.65
12,54,148,32404.35
12,55,155,21873.533333333333
12,56,170,29044.6
12,57,157,48755.1
12,58,158,43966.833333333336
12,59,151,35479.21666666667
13,00,125,18297.833333333332
13,01,125,18316.4
13,02,119,12062.816666666668
13,03,137,19966.933333333334
13,04,130,37283.98333333333
13,05,80,7682.716666666666
13,06,99,9548.9
13,07,91,8748.116666666667
13,08,74,6283.6
13,09,126,17076.383333333335
13,10,64,2569.883333333333
13,11,102,10339.35
13,12,118,17275.133333333335
13,13,68,1625.6
13,14,108,10581.283333333333
13,15,134,21493.266666666666
13,16,124,20231.55
13,17,86,8085.45
13,18,127,21039.15
13,19,69,3163.766666666667
13,20,91,7274.65
13,21,117,18527.033333333333
13,22,106,18409.1
13,23,118,14465.933333333332
13,24,90,7651.25
13,25,135,13882.1
13,26,126,16312.183333333332
13,27,119,22959.8
13,28,108,15144.55
13,29,90,9016.216666666667
13,30,121,15509.55
13,31,115,12200.016666666666
13,32,91,8166.333333333333
13,33,101,10921.3
13,34,104,7966.383333333333
13,35,140,21544.7
13,36,97,9899.75
13,37,66,4406.683333333333
13,38,138,22736.833333333332
13,39,113,22532.216666666667
13,40,129,16458.633333333335
13,41,118,9850.433333333332
13,42,109,9253.85
13,43,69,4059.0833333333335
13,44,85,2285.0333333333333
13,45,97,15568.983333333334
13,46,63,5817.816666666667
13,47,68,4884.3
13,48,63,7327.05
13,49,68,6959.2
13,50,90,19065.933333333334
13,51,77,12990.733333333334
13,52,100,12542.75
13,53,71,4566.483333333334
13,54,57,5230.666666666667
13,55,61,3086.4666666666667
13,56,42,1957.1833333333334
13,57,45,683.3833333333333
13,58,53,7467.05
13,59,62,237.56666666666666
14,00,50,98.15
14,01,72,10722.25
14,02,81,16078.166666666666
14,03,171,48042.8
14,04,154,35028.7
14,05,140,27526.233333333334
14,06,117,9437.616666666667
14,07,134,39180.083333333336
14,08,154,20853.583333333332
14,09,164,40434.46666666667
14,10,170,37098.6
14,11,157,34721.5
14,12,189,55767.35
14,13,148,31608.95
14,14,145,17249.683333333334
14,15,139,25817.216666666667
14,16,163,50456.76666666667
14,17,147,24913.866666666665
14,18,150,31633.766666666666
14,19,134,29156.616666666665
14,20,140,22530.9
14,21,102,19156.65
14,22,71,8578.316666666668
14,23,82,8528.383333333333
14,24,74,9261.0
14,25,77,6759.9
14,26,42,11975.666666666666
14,27,57,5539.166666666667
14,28,58,8381.466666666667
14,29,65,4821.783333333334
14,30,53,7773.033333333334
14,31,60,3746.9
14,32,44,3486.45
14,33,25,4542.583333333333
14,34,16,1413.5
14,35,22,0.0
14,36,42,820.9833333333333
14,37,32,4158.8
14,38,47,4607.45
14,39,49,3126.366666666667
14,40,71,8027.816666666667
14,41,84,24617.166666666668
14,42,83,6556.0
14,43,75,13920.816666666668
14,44,133,35997.35
14,45,130,26792.866666666665
14,46,98,11057.616666666667
14,47,90,17184.716666666667
14,48,81,7151.666666666667
14,49,84,4354.716666666666
14,50,82,23595.133333333335
14,51,86,16543.933333333334
14,52,83,9961.583333333334
14,53,120,17848.716666666667
14,54,95,8069.416666666667
14,55,124,20038.233333333334
14,56,150,26940.816666666666
14,57,166,51700.3
14,58,117,16402.95
14,59,135,24166.983333333334
15,00,111,12320.616666666667
15,01,104,15731.233333333334
15,02,140,27172.166666666668
15,03,117,7870.1
15,04,100,6735.833333333333
15,05,155,44783.683333333334
15,06,138,35982.166666666664
15,07,155,18467.9
15,08,168,24398.666666666668
15,09,131,20187.016666666666
15,10,152,23175.55
15,11,125,12052.933333333332
15,12,85,4560.85
15,13,111,15496.333333333334
15,14,93,7138.25
15,15,51,2937.5666666666666
15,16,83,6257.283333333334
15,17,58,5303.05
15,18,89,11581.866666666667
15,19,79,9313.916666666666
15,20,50,4676.45
15,21,62,4796.8
15,22,50,2752.733333333333
15,23,39,3600.5666666666666
15,24,55,2346.7
15,25,13,55.61666666666667
15,26,9,334.81666666666666
15,27,8,0.0
15,28,20,363.1333333333333
15,29,4,0.0
15,30,5,140.55
15,31,22,0.0
15,32,47,6229.25
15,33,45,7341.2
15,34,74,6560.216666666666
15,35,116,21168.666666666668
15,36,116,19457.0
15,37,65,15035.033333333333
15,38,66,11079.683333333332
15,39,90,11758.833333333334
15,40,69,6004.2
15,41,83,9030.7
15,42,49,6222.683333333333
15,43,65,12867.966666666667
15,44,71,8857.816666666668
15,45,66,17599.8
15,46,49,8882.033333333333
15,47,48,3843.383333333333
15,48,47,2639.133333333333
15,49,48,8012.95
15,50,33,2557.0666666666666
15,51,11,0.0
15,52,19,4139.616666666667
15,53,15,0.0
15,54,57,9004.466666666667
15,55,60,2726.05
15,56,67,10169.35
15,57,39,3895.9166666666665
15,58,40,4339.283333333334
15,59,53,7134.366666666667
16,00,110,19809.7
16,01,184,82251.95
16,02,186,86845.76666666666
16,03,174,49457.8
16,04,161,38121.53333333333
16,05,162,29517.65
16,06,186,54758.63333333333
16,07,178,50548.13333333333
16,08,167,44458.11666666667
16,09,161,60233.45
16,10,123,27467.683333333334
16,11,129,32437.166666666668
16,12,136,33975.11666666667
16,13,111,21696.666666666668
16,14,133,21816.866666666665
16,15,145,14492.65
16,16,103,9192.533333333333
16,17,99,16932.133333333335
16,18,133,18274.633333333335
16,19,118,25499.883333333335
16,20,138,23417.05
16,21,110,13282.116666666667
16,22,153,25323.666666666668
16,23,172,46555.4
16,24,174,53852.683333333334
16,25,183,75334.8
16,26,143,19390.583333333332
16,27,142,36292.416666666664
16,28,139,27990.0
16,29,129,37000.4
16,30,114,30887.483333333334
16,31,66,10733.65
16,32,101,5524.7
16,33,83,10522.533333333333
16,34,74,7052.9
16,35,84,9146.45
16,36,99,6267.083333333333
16,37,83,4190.45
16,38,82,14984.416666666666
16,39,101,11015.6
16,40,111,19304.7
16,41,67,6092.2
16,42,120,29178.933333333334
16,43,108,15230.3
16,44,106,8472.833333333334
16,45,89,21841.55
16,46,78,22052.916666666668
16,47,88,15069.216666666667
16,48,51,1045.2833333333333
16,49,58,8409.283333333333
16,50,97,12164.0
16,51,127,23801.316666666666
16,52,143,25545.633333333335
